名字,正文,时间,text_result
"
音宝1",刚刚肺炎出院的我瑟瑟发抖 ,20191208-20200122,0
"
音宝1",刚刚肺炎出院的我瑟瑟发抖 ,20191208-20200122,0
"
ICE-Beijing",喊的很凶，可是今天在北京和深圳机场没见到有人量体温，洗手池没有消毒液，没有宣传标语，没有卖口罩的，没有任何提示注意戴口罩，春运期间，这是要病毒广泛传播吗？ ,20191208-20200122,0
"
FAIRYY喜欢KUN",温柔的akjj鸭???? 爱辽 ,20191208-20200122,1
"
RayaWang",我也马上就要回去了 你回来之后也要小心 ,20191208-20200122,1
"
FAIRYY喜欢KUN",新疆这面会发生吗？ ,20191208-20200122,0
"
国际名导演",春运能不去人多的地方么？过年还走不走亲戚了 ,20191208-20200122,0
"
H贰拾陆",想知道自己养的宠物小狗还可以碰吗 ,20191208-20200122,1
"
Quovadis-",关于海鲜和家禽这方面，是不是鸡鱼什么的也最好别吃了吗？也不要去菜市场买吗？？如果家里养着?? 呢？ ,20191208-20200122,1
"
一剑斩天涯", 转发微博 ,20191208-20200122,0
"
爱单的小余",哈哈哈哈，我看着看着就开始鼻塞 ,20191208-20200122,1
"
西瓜小米粥吖",自己家养的鸡怎么办，可以碰吗，求告知 ,20191208-20200122,0
"
暖男Ethan的女神",国外是承认这是新sars的。不知道国内会不会后面改口。之前也说有限人传人。现在大佬出来肯定人传人。而且还是上升期 ,20191208-20200122,0
"
阿主公电闪",带鱼和咸鸭蛋最近买的 可以吃吗 害怕 ,20191208-20200122,0
"
名字和人",@我的猪叫朱十五 总结！少出门，出门也给我戴口罩?? ,20191208-20200122,0
"
沈沈沈ym",@感谢你的微笑慌乱过我的年华 ,20191208-20200122,1
"
小肆的_日常流水记录簿",转！！！ ,20191208-20200122,1
"
第一刺客联盟",太过分了！什么叫武汉肺炎。叫新型冠状肺炎好吗？作为蓝V，可不可以严谨一些！！！！！！！！ ,20191208-20200122,0
"
这个女孩不太甜-",我朋友圈发啦！！！ ,20191208-20200122,1
"
NNNaughty",@Gourmet_ ,20191208-20200122,0
"
让书拯救你",头铁 O网页链接 ,20191208-20200122,0
"
零zero_1995",计划路线是2.13????广州，2.14晚上??深圳，然后2.15有个比赛，2.16上午返程，瑟瑟发抖 ,20191208-20200122,0
"
SUE蔬",@立青是个巴萨球迷 ,20191208-20200122,1
"
啰嗦的刘老师",小心但不要恐慌 ,20191208-20200122,0
"
白绛wyj",@温泉区桥本环奈- @果敢HQ ,20191208-20200122,1
"
Alpha张庭睿",什么武汉肺炎，作为官方微博请使用WHO统一的命名，不要随便带节奏抹黑武汉好吗！ ,20191208-20200122,0
"
金毛肥鼠",是不是有抽烟的不传染呢 ,20191208-20200122,0
"
楠树1991",划重点,20191208-20200122,1
"
·大胡萝卜·",@爹花花 ,20191208-20200122,
"
皮卡翊",report ,20191208-20200122,
"
我的名字有个瑾",那些确诊和疑似的人乘坐过的交通工具应该公布出来 ,20191208-20200122,
"
啵啵桃子味奶茶",她是新型冠状病毒可传播的，虽然她比非典弱，切在年边外地工作回家的人很多说明哪里都有可能传染 ,20191208-20200122,
"
1磨叽小刘2",买了件衣服从武汉快递过来的，会不会带病毒啊？ ,20191208-20200122,
"
OOAK_",???? ,20191208-20200122,
"
-APao-",@酒不懂啊 ,20191208-20200122,
"
你别偷吃鱼",@悄悄的告诉他 ,20191208-20200122,
"
你别偷吃鱼",@今晚打老虎Yeun @OOAK_ @一只锤鹅_ ,20191208-20200122,
"
萧满伊",早日打败病害?????? ,20191208-20200122,
"
是皮皮呀1215",那我带口罩去海鲜市场应该就没问题啦 ,20191208-20200122,
"
摸仙堡堡主__",可怕 ,20191208-20200122,
"
k柏莉酱",过度紧张了，明天要坐高铁出远门 ,20191208-20200122,
"
我的狗大螃它想长毛",拉黑中 ,20191208-20200122,
"
努力就是最美的自己",还是要注意身体 ,20191208-20200122,
"
老司机飚快车",喝岩浆吧 ,20191208-20200122,
"
如今說散就散",好滴 狗子了解了呢 小喇叭也要注意喔 ,20191208-20200122,
"
朱紫酱",感冒了的我瑟瑟发抖 ,20191208-20200122,
"
噗噗噗噗噗噗噜",少往人流量多的地方跑 大家春运期间戴口罩 多注意 ,20191208-20200122,
"
圈圈同学好",@日天跑路了 ,20191208-20200122,
"
啾宝主子",家里养猫的怎么办 ,20191208-20200122,
"
我也会开心的",@漫天雨雪 ,20191208-20200122,
"
布布布尼斯啵",虽然报道上很温和，但真实情况不容小觑！！请大家一定要注意自己的健康与安全，保护好自己一定会好起来的 ,20191208-20200122,
"
C淺時咣",？ ,20191208-20200122,
"
衾夕影",请问一下是只要外包装上写了，是医用外科口罩就是可以预防的吗？ ,20191208-20200122,
"
柠檬要82分甜",看看 ,20191208-20200122,
"
每天只吃1口肉",@王佳晖320548 ,20191208-20200122,
"
篮球新声",有必要了解一下 ,20191208-20200122,
"
人生不随意不将就",收到 ,20191208-20200122,
"
JUG阿Z",嗯嗯 ,20191208-20200122,
"
林时镇-",@鞋小了 ,20191208-20200122,
"
恭喜发财_ln",@RayaWang @把我灵魂也带走_ 听说韩国也出现了一例，要多多注意呀 ,20191208-20200122,
"
恭喜发财_ln",@Procrastination_-_ ,20191208-20200122,
"
连宇_",少出门 少往人群里穿梭 ,20191208-20200122,
"
我爱牛肉丸爱发呆",说的好 ,20191208-20200122,
"
2020上岸大锦鲤",奥 ,20191208-20200122,
"
SevenLion77",@JUG阿Z ,20191208-20200122,
"
美织织的毛线圈",宅家又环保又健康。重视起来，早睡早起做个好孩纸 ,20191208-20200122,
"
跟你港哦",好嘞先预防着吧 ,20191208-20200122,
"
LanHundred",可是我20年一直都很乏力 ,20191208-20200122,
"
Klumina",都来看看 ,20191208-20200122,
"
是毛毛的光光啊",@是光光的毛毛啊 ,20191208-20200122,
"
遵守十戒圣经生活环保耕田",上帝天灾人祸，没心没肺的 ,20191208-20200122,
"
SeekAndRead",。 ,20191208-20200122,
"
Fighting__婷",希望快点过去吧 ,20191208-20200122,
"
Dhaer",@不吐槽会死星球球长 ,20191208-20200122,
"
不想努力的琳琳公主",之前全身乏力头痛了几天以为感冒了一直喝感冒灵没见好才去看了医生，原来已经烧了4天38度了但是自己没感觉，吃了医生开的一天流感药就好了，现在想起来有点后怕啊…… ,20191208-20200122,
"
K_yeoliee",@逃进冰淇淋 ,20191208-20200122,
"
n再没有像你一样的人",什么是脓毒？ ,20191208-20200122,
"
喜欢无雨还是晴",@哥是京涛没有浪????我把你画成花?? ,20191208-20200122,
"
蔡老板的圈外女友",注意安全！保护好自己！@蔡徐坤????徐坤是！大家都是！都要好好的！！！ 加油！！带口罩 ,20191208-20200122,
"
局外有棋",转 ,20191208-20200122,
"
JK·CAI",好哒 ,20191208-20200122,
"
Seventeen_wt",@ttx有睡不醒症 宝贝康康哇 ,20191208-20200122,
"
冷语倾寒",我要回去了解下哪些是武汉回来的 ,20191208-20200122,
"
安静的闹铃",在海鲜市场传出来的，除了家禽，少去海鲜市场也很重要吧 ,20191208-20200122,
"
深圳湾小海盗",扩散 ,20191208-20200122,
"
汤仕阳",承认人与人之间可以传播了？比更官方的值得表扬 ,20191208-20200122,
"
是赵大亨呐",@陈大脸or陈美丽 @马可可ing 注意注意 ,20191208-20200122,
"
南柯___一梦",@啊叫个啥 ,20191208-20200122,
"
这只鬼_",@Hika大魔王 ,20191208-20200122,
"
一纸蓝笺薄流光",@一纸茶墨慕橙诺 ,20191208-20200122,
"
GH娜麽愛吃蔡",小猫咪们新年都要健健康康的！坤哥记得换口罩@蔡徐坤 ,20191208-20200122,
"
TiAmo-坤",一切平安 ,20191208-20200122,
"
听君话",搞得都不敢出去玩了  ,20191208-20200122,
"
赵猪猪啊",嗯嗯谢谢 ,20191208-20200122,
"
WhosMayk",@马思锦啊 ,20191208-20200122,
"
wqm54",重点是 抓源头，抓源头！封闭检查…?? ,20191208-20200122,
"
AnNa蜜米",好着急。家里两孩子都 发烧咳嗽。咳嗽还很厉害。担心死 ,20191208-20200122,
"
菜菜就是爱音乐唷",正逢春运年关 ,20191208-20200122,
"
晏文金",注意预防，好好过年 ,20191208-20200122,
"
Karry水蜜桃子",刚收了来自武汉的快递会被传染吗？快递能携带肺炎病菌吗？ ,20191208-20200122,
"
欲欲多欢",我想问一下，可防怎么防？可控怎么控？ ,20191208-20200122,
"
来时雪已化",@RO-ZHUzhu ,20191208-20200122,
"
刘亮亮",@张小仙 ,20191208-20200122,
"
小白兔bb机",我就要，我肯定打，明天就打，不骗你，就是深圳。88 ,20191208-20200122,
"
在深圳的鹿鹿",打钱就好，欢迎甲方爸爸。然后就此别评论了吧 ,20191208-20200122,
"
timelesslove诺言",???????????? ,20191208-20200122,
"
小白兔bb机",我打钱一般只有两个事,20191208-20200122,
"
刺猬刺猬crescent",早上刚在外面冻了好久，有点头疼咳嗽的我有点慌 ,20191208-20200122,
"
耀耀子和凯凯子",这个轻度症状实在是容易和感冒搞混，是不是只有等到严重了才有感觉呀，求科普一下 ,20191208-20200122,
"
钱三三",OK ,20191208-20200122,
"
耀耀子和凯凯子",我早上起来有痰，咳出来以后就干咳 ,20191208-20200122,
"
嘤嘤嘤小螺",@k1ssMyX1a0pp ,20191208-20200122,
"
在深圳的鹿鹿",你这不按套路出牌啊，小老弟。 我，秦始皇，打钱。 不要问为什么，骗的就是你。 ,20191208-20200122,
"
一只白玉狍",收到！ ,20191208-20200122,
"
十里桃花香漫天",图文并茂，通俗易懂 ,20191208-20200122,
"
不想喝酸奶啊啊啊",预防！ ,20191208-20200122,
"
_朱丹zd",我感冒好啦，嘻嘻 回头给你带好多口罩 ,20191208-20200122,
"
小白兔bb机",也对，我秦始皇就没有惧怕过死亡待我吃了长生不老之药原地复活，继续让你们去修长城做苦力 ,20191208-20200122,
"
璞璞暄暄",可 ,20191208-20200122,
"
___Zy___",源头不在深圳得话，我觉着应该更注意个人卫生，毕竟人传是由空气传播吧。 ,20191208-20200122,
"
钱三三的三哥",@钱三三 ,20191208-20200122,
"
Laurel美静",一周没出门的我更加坚定了不出门的想法 ,20191208-20200122,
"
___Zy___",N95走在街上可能会被扑倒 ,20191208-20200122,
"
蜜蜂幸运草kim",正在感冒咳嗽的我心惊胆战 ,20191208-20200122,
"
___Zy___",觉着比普通面罩帅气 ,20191208-20200122,
"
章啊毛噶",快回我微信臭柯基 ,20191208-20200122,
"
吾后民生",不敢出门瑟瑟发抖 ,20191208-20200122,
"
在深圳的鹿鹿",没事的，想想你的年龄，那么多年都扛过来了 ,20191208-20200122,
"
花熙的美好时光",@取名什么的真麻烦已被占用 ,20191208-20200122,
"
小白兔bb机",打你我已经被社会强奸致死了88 ,20191208-20200122,
"
刻在我鞋底的名字",挺乐观？？重视起来不行？ ,20191208-20200122,
"
手机用户uk15583",??1 ,20191208-20200122,
"
海螺路靓崽",很多了现在 ,20191208-20200122,
"
黄猫奴",感冒咳嗽半个多月了，还好没发烧，保佑 ,20191208-20200122,
"
佳佳嘉嘉葭葭",@蒙白妞 ,20191208-20200122,
"
静山君在这里",好的 ,20191208-20200122,
"
秋风叠云",屌 我觉得就是因为我那屋没暖气 ,20191208-20200122,
"
在深圳的鹿鹿",何弃疗？或者才能好好体会到社会的毒打 ,20191208-20200122,
"
吴勋的绯闻女友",????? ,20191208-20200122,
"
王宛平",?? ,20191208-20200122,
"
ruo水san千959",嗯！多注意 ,20191208-20200122,
"
小吕难不难女不女",收到 ,20191208-20200122,
"
株洲今日头条",健康，富裕，身心自由，是大多数人的追求。 ,20191208-20200122,
"
小白兔bb机",我觉得我刚刚出去一趟我就中毒了，回来头就昏昏的，还打了好几个喷嚏我想放弃治疗了，反正没钱没对象没有爱情没有人爱我我不想活了永别了大家 ,20191208-20200122,
"
别闹了把内裤还我-",@牛油果甜虾 ,20191208-20200122,
"
睡不醒yoyoyo",@睡醒念余生_yco 问题不大不要慌，做好防护保健康。 ,20191208-20200122,
"
Laywinkkkk",请问！！！普通口罩是不是戴了等于没戴？还是会有点用的？？？ ,20191208-20200122,
"
风华正茂呀少年",好的，老婆。 ,20191208-20200122,
"
心理医生常向东",科学防控很重要！ ,20191208-20200122,
"
重过南楼",@月梧ww ,20191208-20200122,
"
正魁君",可正值春运，好多人都在路上呢…… ,20191208-20200122,
"
我得螺蛳粉啥时候到",我也 ,20191208-20200122,
"
jxm姜小默",@席瑞就是花花 注意防护 ,20191208-20200122,
"
长白风雪静候故人归",药店里都有吧 你跟医生说要医用口罩就行 不过挺贵的 ,20191208-20200122,
"
绮长流兮",好的，谢谢 ,20191208-20200122,
"
77布布丁",能不能不要带节奏，什么叫武汉肺炎？ ,20191208-20200122,
"
去年夏天LMM",知道啦，这心给你操的~ ,20191208-20200122,
"
liuisdauntless",谢谢加油 ,20191208-20200122,
"
尼莫大爷",@二混子--Stone 抄袭哎 ,20191208-20200122,
"
随意的清爽煮蛋",米兔 ,20191208-20200122,
"
材大器粗durable",@嚯Gxxxxxx ,20191208-20200122,
"
想什么呢呢",@_朱丹zd ,20191208-20200122,
"
蛋疼的时候必须淡定",可以吹很多年的扭币了,20191208-20200122,
"
经常做好事的坏蛋",啊 ,20191208-20200122,
"
lenayuiii",@续写前奏2019 ,20191208-20200122,
"
婺华",希望大家都平安健康 ,20191208-20200122,
"
33clover",@-a-l-i-e-n- ,20191208-20200122,
"
LMC·",@Bellucci- ,20191208-20200122,
"
Ayajann-",@Almira_8 @Eudemonia_MmR ,20191208-20200122,
"
iIceysky",收到！ ,20191208-20200122,
"
九重天上的猪",好滴 老婆也要注意哦 ,20191208-20200122,
"
徒劳混乱CC",知道了 ,20191208-20200122,
"
瓜瓜爱吃甜食",收到！ ,20191208-20200122,
"
我希望的希望卍",好的 ,20191208-20200122,
"
自种天然",信息公开透明，好 ,20191208-20200122,
"
Hello-毛毛头",好的，知道了 ,20191208-20200122,
"
w王小浩h",吓人哦 ,20191208-20200122,
