名字,正文,时间,text_result
"
倦倦居居是小太阳吖",真是好消息了?? ,20200210-20200213,0
"
雨秋a",是否可以让已经治疗好的患者献血后再出院 ,20200210-20200213,0
"
珠懵懵",恳求大家捐献血浆，早日打赢这场战役 ,20200210-20200213,1
"
风越清响",我奶奶就是输血得了丙肝 ,20200210-20200213,0
"
祝我杨名立万",@袁ybx ,20200210-20200213,0
"
收过花",我觉得应该给点福利给那些捐献血浆的人????这样更能鼓励他们都来 ,20200210-20200213,1
"
forever琉璃24829",， ,20200210-20200213,0
"
冬子fuyuko",md终于有好消息了好消息 ,20200210-20200213,1
"
梦之蓝77809",加油 ,20200210-20200213,1
"
知念美纪",应该是个好消息吧！ ,20200210-20200213,1
"
苦瓜applaud苦瓜",【重磅好消息!!!#治疗性新冠特 ,20200210-20200213,1
"
0o_光线粒子",电影里演的都是真的 ,20200210-20200213,0
"
比克斯AI",其实这个方法我早就想到了，为什么今天才做出来呢，是有一定的难度吧 ,20200210-20200213,1
"
iivaiai",@光子的一些事一些情 ,20200210-20200213,0
"
爱国英雄基金会",中医西医都能救人，医者仁道 ,20200210-20200213,1
"
超级作者日",加油啊 ,20200210-20200213,1
"
易何",李文亮医生要是能等到现在就好了！ ,20200210-20200213,1
"
xinteleixi",能用克隆方法生产这种含特异抗体的血浆吗？这样就不用捐献那么多了 ,20200210-20200213,0
"
我家啥最肥",最后打败病毒的还是靠人体自己 ,20200210-20200213,1
"
觅梦寻觅06180",武汉加油 ,20200210-20200213,1
"
知名幸运女娃",加油！ ,20200210-20200213,1
"
今天我吃瓜了真香",嗯 ,20200210-20200213,1
"
狗子好可爱呀",我也不知道说什么，武汉加油！！！ ,20200210-20200213,1
"
我抓到彩虹了",牛逼牛逼！！！ ,20200210-20200213,1
"
热忱84401",加油 ,20200210-20200213,1
"
KrystalChoi-",好消息！！太好了！ ,20200210-20200213,1
"
live酒館·",央企赞！ ,20200210-20200213,1
"
别扯我裙子-",？你是憨批吧 ,20200210-20200213,0
"
别扯我裙子-",献血前都要检查得。。。 ,20200210-20200213,0
"
南岳衡山的小鱼儿",我是中国移动前员工，在移动工作四年，始终以移动人为荣，现今全国人民上下合力对抗新冠病毒肺炎，中国移动保通信是义无反顾的责任担当！我虽是普通一人，但也愿以身赴国难，如中国移动在抗新冠肺炎的非常时期，有需要用人之时，@中国移动 无论何时何地、何种岗位，只要召我，我必到！ ,20200210-20200213,1
"
-在等月亮吗-",抗生素吃多了是好事？ ,20200210-20200213,0
"
青衣韶七",无语了 中医粉怎么了 这么看不起老祖宗传下来的东西? ,20200210-20200213,0
"
竹笋陪你看星星",血清检测以及核酸检测，检测出来带有其他病毒的血会被安全销毁，不懂流程不要哔哔赖赖 ,20200210-20200213,0
"
Pure澄桑",止痛药可以止你这一次的痛 你要是每一次痛 你就每次都要吃止痛；中医重在调理 在一段时间调理后可以近乎使来月经会疼痛的症状得到解决。前者是短时间内的有效解决方法，后者是长时间内的有效解决方法。 止痛药治标不治本，自身的调理才是关键。（也就是你也可以靠提升自身的体质和健康程度解决疼痛根源 ,20200210-20200213,1
"
小洋菜奈_",太好了！！！ ,20200210-20200213,1
"
李小年的雨伞",谢谢 ,20200210-20200213,1
"
李小年的雨伞",请康复病人积极献血?? ,20200210-20200213,1
"
二熊家的鲤鱼",真好 ,20200210-20200213,1
"
竹竿茶壶",希望越来越好 ,20200210-20200213,1
"
中国-dragon",没任何关系，他们就是闲的，想找人吵架 ,20200210-20200213,0
"
小团子要健康成长",??????太好了，又看到一个好消息，大家一定要耐得住寂寞啊，出入注意卫生 ,20200210-20200213,1
"
西边半岛",所以这句话跟中西医有什么关系。。。他们在吵吵啥 ,20200210-20200213,0
"
阿大大201004",加油！ ,20200210-20200213,1
"
忆墨晶",那这上面说的血浆的事是真的吗？说是得过这种病治好了后身体产生的抗体？？？ ,20200210-20200213,1
"
羙羙寶寶",太好了... 希望有效能早日投入大量使用！！！我们离胜利又近了一步 #武汉加油#  ,20200210-20200213,1
"
忆墨晶",高兴的落泪了！希望大家都能够康复回家！ ,20200210-20200213,1
"
忆墨晶",真的好高兴！终于看到曙光了！?? ,20200210-20200213,1
"
-mylittlepoetics",希望好消息越来越多越来越多越来越多越来越多 ,20200210-20200213,1
"
忆墨晶",真的是重磅好消息！?? ,20200210-20200213,1
"
木沐-万11",加油！治愈成功的人又重新成为英雄。如果真的是人工的病毒，那真的是牺牲太多给你做活体实验。保佑疫情快点过去，恢复原来的生活。 ,20200210-20200213,1
"
忆墨晶",这是真的吗？病患有救了啊！真希望大家都快点好起来！?? ,20200210-20200213,1
"
神英其囊",辟谣了 假的 ,20200210-20200213,0
"
不舍o一一",@吃退烧药去上班 ,20200210-20200213,0
"
喜乐安康属于你",谢谢 ,20200210-20200213,1
"
沈医护理喵喵喵",建议提前电话咨询，各地政策不一样，听国家卫健委安排 ,20200210-20200213,0
"
喜乐安康属于你",也就是说我如果能成为治愈人员，可以到湖南去献血对吧 ,20200210-20200213,1
"
中国-dragon",是血浆，眼神不好，还是靠他们专业的人安排 ,20200210-20200213,1
"
我在梦想有片榴莲果园",呼吁各位康复的人士积极去献血，拜托了 ,20200210-20200213,1
"
QAJ13654095148",、 ,20200210-20200213,0
"
流水似盼",中国加油 ,20200210-20200213,1
"
霍屾山",好 ,20200210-20200213,1
"
旅行仙肌",Good news! ?????????? ,20200210-20200213,1
"
星球宇航员9v5号",害 ,20200210-20200213,1
"
zhaoRudolf",加油?? ,20200210-20200213,1
"
号码136227",， ,20200210-20200213,0
"
小王同学要好好学习吖",， ,20200210-20200213,0
"
沈医护理喵喵喵",当地治疗用，河南湖南俩邻居支援 ,20200210-20200213,1
"
我想要一颗草莓",好心是好心，可是这是必备的， ,20200210-20200213,1
"
目目住多一横",如果血清可以制成药呢？胶囊之类的。 ,20200210-20200213,0
"
目目住多一横",感谢你们。为他们献上自己宝贵的血液。你们将终身幸运 幸福美满。 ,20200210-20200213,1
"
香榭紫蝶",请问专家，这种特异性的抗体除了可以消灭病毒外，有无副作用，会影响生育吗 ,20200210-20200213,1
"
墨语成磨",这简直是太棒了 ,20200210-20200213,1
"
安吉拉二狗",现在只能用这样的办法了。虽然有点费事 ,20200210-20200213,1
"
何煦呢呢呢",加油！ ,20200210-20200213,1
"
李一桐是我的猫",我也是担心病毒进化，第一代康复患者的血清治不了变异的病毒 ,20200210-20200213,0
"
长云爸",加油 ,20200210-20200213,1
"
心口有个勇字的Ching",中国人救了自己 ,20200210-20200213,1
"
朝暮花落归于山河",激动哭了 ,20200210-20200213,1
"
魂淡的已有人抢了",刚出生的婴儿都要打卡介苗和乙肝疫苗，你有抗体是因为你小时候有打过疫苗。并不是你接触了有乙肝的人才产生的抗体。如果检查发现没有抗体了，你就得去医院打疫苗。 ,20200210-20200213,0
"
kindofbadass",早点睡觉 一天天的 ,20200210-20200213,0
"
坤坤20011007",加油 ,20200210-20200213,1
"
君宝大小姐",一天一定要比一天好啊 ,20200210-20200213,1
"
卻無明",你分清了吗 ,20200210-20200213,0
"
万缕晋思",恳请康复的病人积极献血以后康复的病人越多，血浆就越多，血浆越多，康复的病人就越多。良性循环已经来了！ ,20200210-20200213,1
"
喜乐安康属于你",有道理 ,20200210-20200213,1
"
姑娘爱兔兔",好消息 ,20200210-20200213,1
"
时如水水如沙",加油 ,20200210-20200213,1
"
hdbsbshssh",啊啊啊啊，鸡冻 ,20200210-20200213,1
"
艾禾苗",我多一句嘴，特免这个东西，预防效果超级好！真的希望可以给一线的医护人员也用上！他们值得！！！ ,20200210-20200213,1
"
艾禾苗",真的太棒啦！ ,20200210-20200213,1
"
胖娃张YY",希望疫情尽快结束，早点开工 ,20200210-20200213,1
"
布布668",在缺乏疫苗和特效治疗药物的前提下，采用特免血浆制品治疗新冠病毒感染是最为有效的方法，可大幅降低危重患者病死率。国药中国生物承担的2019-nCoV感染恢复期患者特异血浆和特异免疫球蛋白制备项目是科技部组织制定的国家重点研发计划“公共安全风险防控与应急技术装备”重点专项 ,20200210-20200213,0
"
雪城__",西医怎么没治好你的狂躁症啊 ,20200210-20200213,0
"
用户自己的太阳",加油！ ,20200210-20200213,1
"
易珩酱",好消息！ ,20200210-20200213,1
"
nanakoisme",只能危症患者用吧 ,20200210-20200213,0
"
晴空万里蓝蓝天",希望治愈出院的人们去捐血，这也是给自己积德延寿 ,20200210-20200213,1
"
霸占一副肩膀的西三95",加油！！！！ ,20200210-20200213,1
"
霸占一副肩膀的西三95",太好了！！！！！ ,20200210-20200213,1
"
做个蘑菇不再奔跑",真真是好消息，加油吧！都要好好的！ ,20200210-20200213,1
"
爱你的铜钱草",会越来越好的，感谢 ,20200210-20200213,1
"
谦喜儿",估计得问你们当地的医院有没有准备好这个设备技术啥的，上海不是也有六个出院患者捐血了吗 ,20200210-20200213,1
"
李盈君Vivian",这是今年听到最好的消息了加油啊 ,20200210-20200213,1
"
你的小迷妹guessME",是啊，希望早点好起来，我想工作，想赚钱。国家这次真的做的挺好了，虽然也有不足，但我们会改正，会越来越好 ,20200210-20200213,1
"
叔丁基锂买一送一",有没有人能解释一下，什么叫“特免”？最起码，能给个全称吗？ ,20200210-20200213,0
"
Meeew达达",是啊，不幸中的万幸吧 ,20200210-20200213,0
"
诗阿诗阿-",?? ,20200210-20200213,0
"
Hz正正",hiv就是没有免疫功能被生活中各种细菌病毒感染而死，还能痊愈真的是奇迹了 ,20200210-20200213,1
"
seuuuuui",@万睡睡- ,20200210-20200213,0
"
Hz正正",得HIV的也不可能献血啊，hiv全称“获得性免疫缺陷综合症”。本身就没有免疫功能了，得了新型肺炎还能指望自身产生抗体吗？ ,20200210-20200213,0
"
我是叶星云",太长 ,20200210-20200213,0
"
hz100101_",不捐的自己把医药费掏了 ,20200210-20200213,0
"
L名可名",那是啥情况，意思是?? 太狡猾了，打过疫苗还会再病变？如果是，这个信息的导向是啥？表示不懂 ,20200210-20200213,0
"
Filoker","now,its time to fight back ",20200210-20200213,1
"
白衣卿相nkdjdebe",感谢 ,20200210-20200213,1
"
堪忍-",哈哈哈哈哈抱抱 ,20200210-20200213,1
"
xhjkkfgjk",辛苦了，谢谢 ,20200210-20200213,1
"
一栀vivi将",好消息 ,20200210-20200213,1
"
夏雪寒冬梨花",喷中医有病吗？？我就没见到有一条说中医很牛逼的……谁不知道中医是调理啊？？喷啥呢？？ ,20200210-20200213,0
"
我未免也太棒了吧",有HIV还能献血？ ,20200210-20200213,0
"
若宇帝天",你是真不知道啊，人的献血能力是有科学根据的，在不影响健康的情况下，怎么献我没资格说，谁也没资格，但是你这个要把人抽死，就是妥妥的蔑视法律 ,20200210-20200213,0
"
维克多平常心",曙光乍现！ ,20200210-20200213,1
"
柠檬金桔桃花源",转发微博 ,20200210-20200213,0
"
瓷国媳妇牌坊-wj大宝贝",可得审查检验严格，别混进去艾滋梅毒之类的血源 ,20200210-20200213,0
"
与橘子赛跑的滚筒洗衣机",希望符合条件的尽自己状况献出一片爱心 ,20200210-20200213,1
"
gunshoot_fever",！！！ ,20200210-20200213,1
"
慕彼清风",好消息 ,20200210-20200213,1
"
诶瓶子",这几天听到的最好的消息了吧。（备忘存档 ,20200210-20200213,1
"
如意小媚",怎么没有，老早的种痘术 ,20200210-20200213,0
"
k_生化森林",止痛药能根治？ ,20200210-20200213,0
"
奴法自然VS",用已康复病人的血浆提取病毒抗体？以为是种牛痘呢。孙思邈用取自天花口疮中的脓液敷着在皮肤上来预防天花，英国医生詹纳发现了一种危险性更小的接种方法。有这种抗体的首先是得过病的人不会再得同样的病。这冠状病毒肺炎你能确定得过不会再传染？不一样的病理啊。 ,20200210-20200213,0
"
天快亮了lu",治愈的人病毒会伴随一生？ ,20200210-20200213,1
"
非狂人日记",记得韩国电影《流感》里有此情节，原来是真的 ,20200210-20200213,1
"
清凌凌的水47052",原来电影里的是真的 ,20200210-20200213,1
"
ADELE_EXARCHOPOULOS",看到了希望，太感動了 ,20200210-20200213,1
"
咿咿呀呀啊啊啊哈哈",你干嘛戾气那么重？各有各的好， ,20200210-20200213,0
"
拜仁慕老黑",我已经迫不及待抱抱你啦 ,20200210-20200213,1
"
ILUILuII",希望今天之后都是好消息！ ,20200210-20200213,1
"
取向狙击Crooked",快点快点搞快点 ,20200210-20200213,1
"
望天狼人",中医医药与西医各有所长。 但西医一定是在中医思维内的。??????中医思维是天地人合一的思维，统领大道。 ,20200210-20200213,1
"
Thesheep_",@beinitua ,20200210-20200213,0
"
l糖小白l",大家一起加油 ,20200210-20200213,1
"
阿喵要喵酱",@耶路撒冷冷不冷啊 ,20200210-20200213,0
"
Joytria",OMG，妹妹重见天日@取向狙击Crooked ,20200210-20200213,1
"
喜乐安康属于你",你试试感染确诊就知道了。治好了如果你有心救人，记得去献血。 ,20200210-20200213,1
"
licheqweas",链式反应，肯定打赢阻击战。 ,20200210-20200213,1
"
柚子的颜色是白色",在保证自身健康的前提下，希望已出院的患者可以积极捐血 ,20200210-20200213,1
"
落雪封川",微博本科率4%果然没错，这都有人杠楼主，血液制品本来就要注意质量控制，毕竟是危险制品 ,20200210-20200213,1
"
小六子同学",//@N家的七月喵 ,20200210-20200213,0
"
中国-dragon",单抗需要时间，融合筛选再到实验，需要一段时间，现在救人要紧 ,20200210-20200213,1
"
中国-dragon",是的，这个需要谨慎，这个和危重输血还是不同的，毕竟新冠危重还带有其他一些其他器官衰竭 ,20200210-20200213,1
"
Nawu-",说明用这个就可以战胜病毒吗？ ,20200210-20200213,0
"
喜乐安康属于你",请问我在成都，如果感染后治愈了，献的血能运去武汉吗？ ,20200210-20200213,1
"
和风爱渺渺",好消息啊！ ,20200210-20200213,1
"
神仙眷侣1",西医放血疗法不就是跟你们中医一样用蝙蝠便牛便人便入药一样么，你们还好意思跟古早的西医比荒唐啊，因为传统医学太荒唐才发展出现代医学，明明能做飞机你偏去坐牛车你不是脑子有病么 ,20200210-20200213,0
"
馨馨DTX",今天之后好消息会源源不断，我们加油！ ,20200210-20200213,1
"
哈哈哈哈哈哈哈嚏",你跟我一样诶 我出生的时候去打乙肝疫苗 无论怎么打都是没效果之类的 后来检测大概谁是我在我妈怀孕的时候我妈是乙肝病毒携带者（无病发）所以我自己就携带了之类的 几百万分之一几率 ,20200210-20200213,0
"
不萌丸",我也是 妇科找中医调理真的很好 ,20200210-20200213,
"
嘣嘣儿要喝冰阔落-",?????? ,20200210-20200213,
"
啵啵一口奶薛",激动死了！！！！一定要赶快度过.！！ ,20200210-20200213,
"
污花果911",胜利的曙光就在前方，加油！ ,20200210-20200213,
"
有点帅气有点二的二哈哈",太棒了！ ,20200210-20200213,
"
小李跟屁虫_",太好了 ,20200210-20200213,
"
来自火星的明夷于飞",辛苦了 ,20200210-20200213,
"
普通可爱的阿红",层主也没说中医啊？怎么回事？ ,20200210-20200213,
"
全世界最可爱的panda",这个确实早就想到了，但是病毒变异很快，不像水痘那样稳定，打过疫苗就不怕了。你打了第一代疫苗，还是防不住第二代第三代病毒（之前就有医生提醒已康复患者可能再次感染），突然出来这个清一色转发说有救了…… ,20200210-20200213,
"
阿西西城的夏令",请问您吃的什么药哎，我一直痛? ,20200210-20200213,
"
大笑和褶子我要美",医生辛苦了！研究人员太牛了！！！ ,20200210-20200213,
"
儿时晚",也祝你健康 ,20200210-20200213,
"
儿时晚",好的那谢谢您的提醒 因为我家人也有很多医生，有中医，也有西医，我只不过点进这条评论 发现很多人在莫名其妙的黑中医觉得不太理解 所以评论了一下，若刚才说的话有冒犯也见谅。因为我自己 也包括我身边的女性朋友 确实有很多治疗痛经和月经不调是用中药调理好的。 ,20200210-20200213,
"
Bobby-Lam",@虞康_ ,20200210-20200213,
"
海飘雪的树洞子", 人人为我，我为人人。为了你获得过的帮助，为了帮助更多的人，和你的亲朋好友。 ,20200210-20200213,
"
在右右右右",别说了，祝你健康。。。再说一句吧，罗辑思维里有一集说中医的，讲的还凑合吧，科普足够了，你有兴趣看看，别回了，祝你健康。 ,20200210-20200213,
"
在右右右右",我全家医生。。。给你个忠告吧，中药吃吃就算了，别注射中成药剂，想什么鱼腥草注射液之类的，会死人的。对了还有一点，你去药店卖药的时候会发现一般他都会给你开一副西药在开副中药，你猜这是为什么。狐狸和老虎一起走，森林里动物全被吓住了，狐狸对老虎说，你看这里的动物全被我吓住了。 ,20200210-20200213,
"
绿豆龙龙二代",这层楼主就客观的提醒了一下，这里面一个个跟杀了他们全家一样，这是不会说人话么？ ,20200210-20200213,
"
儿时晚",另外，青霉素过敏致死后 发明了皮试测验，我们就知道了 再注射时要打皮试，如果我们知道吃这个药会吃死人，正常人还会吃吗？警示作用不是也有吗？如果你拿出证据告诉我还会有人吃 那我无话可说。 ,20200210-20200213,
"
儿时晚",转移话题的不是你吗？看不懂话的不是你吗？中药吃死人了 有没有做类似的实验 我不知道，但你能确保那么多专家医生没有进行研究？没有结果不代表没有过程，若您有亲朋好友在医科院研究 您能拿出确切证据来告诉我，就是没有进行研究，那我大可为中药吃死人不负责转变我的思想，问题是 您能吗？ ,20200210-20200213,
"
在右右右右",请回答我为什么青霉素在试用前有严格的防护措施了，但中药吃死人了却没有，这没出你的逻辑吧，你一直这么问。 ,20200210-20200213,
"
儿时晚",现在不光是阅读理解水平有问题 逻辑也出现明显的混乱了，这药还真是副作用不小 ,20200210-20200213,
"
色兰亭", //@衣锦夜行的燕公子,20200210-20200213,
"
在右右右右",你就回答我为什么中药死人了还不做皮试类似的检验就行，你吃双黄连了吗，看不懂人话，为什么每次回答完你你都转移话题呢 ,20200210-20200213,
"
儿时晚",未必您吃过龙肝泄胆丸才会变成这样吧？这么大仇，这药我没有听过 也不清楚它的副作用，不过现在我倒是知道了，能让人智商低下 ,20200210-20200213,
"
欠亲吧你",@一只软软秋田 ,20200210-20200213,
"
儿时晚",嗯嗯，我明白了，那我根据你的行为 判断您是个不折不扣的zz哦 ,20200210-20200213,
"
儿时晚",既然您没法回答我的问题，那说明我也没必要回复您的问题。 ,20200210-20200213,
"
在右右右右",你说你不是，我根据你的行为判断你是，有什么不对吗？杀人犯非得亲口承认自己是杀人犯，我看见他杀人了说他是，可以吗？ ,20200210-20200213,
"
梨海棠花DOCTER",恳请康复患者献血 ,20200210-20200213,
"
在右右右右",那我问你龙肝泻胆丸现在做皮试了吗，回答这一个问题就行，为什么不做？ ,20200210-20200213,
"
儿时晚",前一条我也说过了，我非中医粉，也非中医黑，正是因为路人才能不偏不倚的看待两种疗法。如果您看不懂 非要说我是中医粉的话 看来真的是语文没学好呢 也不知道是说话不经大脑 还是不识字 有些可怜。 ,20200210-20200213,
"
Sunshine_sweet棠",真的是好消息！ ,20200210-20200213,
"
儿时晚",在回复这条评论之前 您选择性无视的那条可以解释吗？为什么在青霉素发明时 皮试不是相辅相成的？为什么青霉素过敏致死后才有测试实验的发现？这道理您的智商无法理解的话 那我想也不必和您大费口舌了，希望您一生只吃西药，不要违背自己的信仰。 ,20200210-20200213,
"
时有蝴蝶飞过",滚雪球，越来越多的人康复，会有越来越多的血浆 ,20200210-20200213,
"
唐小妮123456789",?? ,20200210-20200213,
"
儿时晚",哈哈哈哈哈哈哈哈哈哈哈 看来您中文水平 哦哦不 既然承认自己是中华民族的话，那只能说您阅读水平有限了，真是为难了您的语文老师 ,20200210-20200213,
"
搏浪鸥o-o",加油加油，早点结束！ ,20200210-20200213,
"
泽啊泽啊泽朋友",好消息！ ,20200210-20200213,
"
在右右右右",你看又上升到民治高度了，下一步是不是要给我扣不爱国颠覆政权的帽子了？我遇到的中医粉毫无意外没一个不是这样的。。。 ,20200210-20200213,
"
儿时晚",当然了如果这么说我们民族的文化瑰宝 看起来您不是中华民族哈 对您的中文水平致敬。 ,20200210-20200213,
"
儿时晚",那晚双黄连新闻出来以后我没买啊 我到现在感冒也会吃西药治疗 头疼也会吃布洛芬，没有绝对的好坏，只要证明药是有用可以治疗的就是好药。你不用揪着中药没有严格用量的问题不放，在皮试实验问世之前，青霉素过敏致死的病例呢？为什么不提前发明皮试？希望您别再复读机，如果结巴的话可以去治 ,20200210-20200213,
"
能者做不能者教",康复患者献血一次需要多少？ 中国生物,20200210-20200213,
"
在右右右右",所以你也买双黄连了？ ,20200210-20200213,
"
在右右右右",我的意思是你们你们你们你们民族瑰宝的中药里为什么不能明确用量且严格标明病毒药理也就是你们说的副作用。 ,20200210-20200213,
"
两分钟小超人",潜伏期的hiv可以检测出来吗？ ,20200210-20200213,
"
儿时晚",笑死，是药三分毒3岁小孩都知道，看来你没法再用智商思考过量服用问题了。其次你也别说我们中药这四个字，中药非个人所属 是历史文化留下来的 事物在发展中寻求真知，我非中药粉也非中药黑，就事论事而已 ,20200210-20200213,
"
窥屏的猫",不是，你以为人家专业的都是拿键盘治病的吗 ,20200210-20200213,
"
在右右右右",现在开始说是药三分毒啦，你们中药可是号称有病治病无病健身的。 ,20200210-20200213,
"
咕咕偶尔犯困",突然想起外省那堆因为瞎jb跑，一出院就被逮捕的患者——要不也鼓励他们捐一下?捐血浆减轻罪责? ,20200210-20200213,
"
窥屏的猫",辛苦啦 ,20200210-20200213,
"
儿时晚",你仔细读读 吃死人的例子是正常服用还是过量服用？拿着药当饭吃在你观念里是正常的？你这么仇视中药 未必你吃中药吃成现在这样zz了？那我也理解了 ,20200210-20200213,
"
在右右右右",请你在回答我，龙肝泻胆丸等一些列吃死人的民族瑰宝现在给你做皮试了吗？ ,20200210-20200213,
"
过客如烟春常在",希望有更多好消息！ ,20200210-20200213,
"
王纪泽1979",//目前在缺乏疫苗和特效治疗药物的前提下，采用这种特免血浆制品治疗新冠病毒感染是最为有效的方法，可大幅降低危重患者病死率。由国药中国生物承担的“2019-nCoV感染恢复期患者特异血浆和特异免疫球蛋白制备”项目是科技部组织制定的国家重点研发计划“公共安全风险防控与应急技术装备”重点专项！ ,20200210-20200213,
"
luksy在橘子洲头",cool！加油～ ,20200210-20200213,
"
名字被占的侍月",是好东西，但血制品风险还是太高，各种病毒不好控制，尽量给危重症用吧 ,20200210-20200213,
"
多多哩个哆",终会迎来拨开云雾见青天的一天 ,20200210-20200213,
"
华华今天下凡了吗",我看了一圈大家也没吹中医啊，我寻思你这么特别激动是你家仙人求长生不老给自己吃死了？ ,20200210-20200213,
"
儿时晚",那请你用你的智商回答我 是先有的青霉素还是先有的皮试？ ,20200210-20200213,
"
无奈降临",加油＾０＾~中国无敌！！！热干面等着我！！！ ,20200210-20200213,
"
宇宙无敌乖",一进来就看得那个谁连发三条评论在喷中医 我寻思着你家人被中医治死了？？这么深仇大恨 ,20200210-20200213,
"
在右右右右",青霉素过敏是说明书里明确说明且要规定使用前必须做皮试的。。。。我这么说不知道以你的智商听不听得懂。 ,20200210-20200213,
"
爱喝茶的tiger",太好了啊，曙光在望 ,20200210-20200213,
"
bulubluu",祖国妈妈加油！！！ ,20200210-20200213,
"
prare5",特效药快来吧 ,20200210-20200213,
"
啊盖子呢",@栗栗栗vj @禾隹拙 牛批 ,20200210-20200213,
"
双双爱吃辣",可以 ,20200210-20200213,
"
小鼓锤儿动次打次",我哭了加油啊！！！ ,20200210-20200213,
"
路上有酒就好了",我推荐你的电影～ ,20200210-20200213,
"
peach软软",哇哇哇，希望是真的 ,20200210-20200213,
"
Juneee_",核酸检测已经把hiv窗口期缩短到一周，他们从患病治疗到康复这中间已经不止一周了，所以你多虑了！ ,20200210-20200213,
"
暖瓶里的海啸",好好把关，别出什么次生灾害，比如随着血液制品传播的疾病。。 ,20200210-20200213,
"
宝藏碎片馆",今天往后，开始重启新生活 ,20200210-20200213,
"
Aiiecy",牛逼啊什么都是中医思维啊…白瞎了医护人员现代医学的付出啊… ,20200210-20200213,
"
PEAMOISNOTBALDLY",问题一,20200210-20200213,
"
恩小恩和爱小爱",看见曙光 ,20200210-20200213,
"
一朵豹豹花",好消息 三月份是好时节 好时节啊 ,20200210-20200213,
"
哔哔哔bee酱",加油！ ,20200210-20200213,
"
就古巨基",好了，问问该买哪支股票 ,20200210-20200213,
"
FI-Fiii",太好啦！！ ,20200210-20200213,
