名字,正文,时间
"
小猫宁-927",你说的有道理，主要是武汉政府太给国家丢脸了，我这么说会不会被喷，可能轮到其他省还没武汉做的好有人会说，但是事就在那，你们就不能多点做实事的吗？摆拍的太多 ,20200123-20200207
"
桃屋Tiny猫",年轻跟自愈力、自身身体素质没有绝对关系。现在很多年轻人，身体还不如中年人，中年人很多身体也不如老年人，这些不好说的 ,20200123-20200207
"
魏大白-",祝愿早日康复 ,20200123-20200207
"
xiongmaoxuelovejing",加油 ,20200123-20200207
"
Chair_Jazmin喵喵",觉得看你这评论很开心，因为刚从文章过来，那边都在说什么不作为之类的，气死了，突然发现，内地也有很多像hk曱甴的人，一有问题就怪政府之类的 ,20200123-20200207
"
小咸蛋不是咸蛋",祝早日康复 ,20200123-20200207
"
赵翊辰123",国家已经在努力了，确实有一些不好的官员，但同样也有一些实干的官员，现实很残酷，但是国家政府已经在很努力的解决问题了 ,20200123-20200207
"
FaTaHe-5",厉害?? ,20200123-20200207
"
琴川小芸",早日康复 ,20200123-20200207
"
旭鹏666",加油 ,20200123-20200207
"
橘子花茶馆",加油↖(^ω^)↗↖(^ω^)↗↖(^ω^)↗ ,20200123-20200207
"
兔兔321跳起来",早日康复 ,20200123-20200207
"
连体裤不是乐队",@连体裤是两兄弟 看着好心疼啊 ,20200123-20200207
"
徐祥Bit3",祝您早日康复 ,20200123-20200207
"
稳重96人士",文字表达能力有问题？ 激动什么？ 恼羞成怒了？????智商低情商低 表达不出来自己想表达的东西????说话之前先把自己脑子里那些??抛干净了再说??????你可真丢人????难怪这么多人喷你 你还解释呢????丢人现眼 ,20200123-20200207
"
下一站幸福2884860395",早日康复 ,20200123-20200207
"
正版C小楼",没有十全十美的人，国家也是，我们有十四亿人民，要管理真的很难。改革开放至今，中国能发展成今天的样子已经很厉害了，国家是好国家，也想做到最好，我们因为这些事情去愤怒，去疼痛，去难受……不就是因为我们爱着这片土地吗。 ,20200123-20200207
"
稳重96人士",干嘛这么激动？ 你说的跟你现在说的是一个意思？????我喷你了？????表达能力有问题？ ,20200123-20200207
"
Yhayobbht",图片评论 ??评论配图 ,20200123-20200207
"
月光下的小白兔不要奶糖",因为吃蝙蝠 让全国人民遭受劫难 让国家平白掏出那么多钱 本来我们的生活是美好的 国家也能拿这些钱去做更多的科研项目 如今投入了这么多物资和人员 真的让人又心痛又费解 ,20200123-20200207
"
阳阳的vb",加油武汉为医务工作者点赞 ,20200123-20200207
"
开开希希King",祝福医生 ，天佑中华 ,20200123-20200207
"
小小王满满-",看一下《传染病》你就知道生在华夏是多么幸运 ,20200123-20200207
"
一定要大吉呀",你自己查??????试纸测试了好几次都是阴性????????阴性怎么确诊？??????你自己看他的微博呀 ,20200123-20200207
"
美人_53656",有点可爱 ,20200123-20200207
"
布丁咖啡Ds",早日康复，加油?? ,20200123-20200207
"
会发大财的小喵喵_yyy",加油您，期待您早日康复 ,20200123-20200207
"
一定要大吉呀",是国家不做的不好吗？拜托 是某些个人????某些老鼠屎好吗 ,20200123-20200207
"
cdy一缕阳光cdy",这场灾难快点过去吧，太可怕了?????? ,20200123-20200207
"
穗菡萏",你有啥想不明白的??????有人测了四次才确诊??????每个人情况不一样罢了??????你醉了就少喝点酒 ,20200123-20200207
"
张立巴扎嘿",吃饭要钱啊小改改 ,20200123-20200207
"
穗菡萏",那些瞎几把说????仇国仇社会的????赶紧滚吧??????看看谁要你??????憨批 ,20200123-20200207
"
yueshang烟火",xn加油 ,20200123-20200207
"
ZJzhangzhang",对啊！国家强大就是人民强大！ 加油！ ,20200123-20200207
"
繁花莳梦",愿早日康复，打倒病魔！ ,20200123-20200207
"
luckystarjj幸福",早日康复?????? ,20200123-20200207
"
途径一场温柔",@Timothy潘琳 ,20200123-20200207
"
小盒星人",好棒！ ,20200123-20200207
"
龙伟娜2287",真棒 ,20200123-20200207
"
jiang阿卓儿",加油????好嘛 ,20200123-20200207
"
长颈鹿小姐77",加油(?? ????_????)?? ,20200123-20200207
"
Y媛来如此",这位医生好可爱，希望您早日康复?? ,20200123-20200207
"
衡衡江南小野花",武汉政府死一百次都不足以平民愤。 ,20200123-20200207
"
衡衡江南小野花",中央出手的很快，怪就怪湖北那些憨批??官不及时上报，害得全国人民遭罪。 ,20200123-20200207
"
微微贝加尔湖畔",国家做得很好了。但之前那个湖北省长呢？ ,20200123-20200207
"
懒懒molly",祝您早日康复 ,20200123-20200207
"
阳光灿烂4959101",关键没有对比，总有人觉得我们的国家做的不够。 ,20200123-20200207
"
夜瞳陌",加油啊 ,20200123-20200207
"
千玺夫人努力搬砖",加油加油，会好的！！ ,20200123-20200207
"
Rot-Blume",希望早日康复 ,20200123-20200207
"
虎子妈妈201507",希望早日康复！ ,20200123-20200207
"
作为wxl",引战不累吗?疫情当前，应当为祖国尽力。 ,20200123-20200207
"
舒滴答",加油医生，你们都是英雄，是最伟大最可爱最棒的人 ,20200123-20200207
"
老逗劈叉",好好做人，好好做事 ,20200123-20200207
"
张晓雯zw",谢谢你????可爱的老头??????????我们真的无端的恐惧 ,20200123-20200207
"
打CS名字不用太长",1分钟的时候 老师战术后仰！哈哈心想 哈哈老子打死病毒了! ,20200123-20200207
"
墨兮03108",加油 ,20200123-20200207
"
蓝鹿227",加油！ 一定会好起来！ ,20200123-20200207
"
ICT观察员",有人这么说么？ ,20200123-20200207
"
ICT观察员",我说什么了吗？呵呵 ,20200123-20200207
"
Leesyn-",对啊 我脚下这片土地是中国 我是怎么样的 他就是什么样 ,20200123-20200207
"
zr青青子衿",积极的心态面对，都会好起来的，加油 ,20200123-20200207
"
Alice仔仔",加油 ,20200123-20200207
"
monicayr21",白粥放油煮，加盐和葱花，很好喝的。 ,20200123-20200207
"
Micky扁",伟大的医务工作者 ,20200123-20200207
"
雪幻麒麟",这时候还骂国骂党的都该死，一群沙币 ,20200123-20200207
"
请叫我拖沓马天王_shine",武汉那几个领头??官开除了没 坐牢都不为过！ ,20200123-20200207
"
喜欢香菜和土豆",这层的真相党满嘴除了洗地没有别的东西，仿佛多点逻辑判断和自己的思考，脑浆子就飞溅出来 ,20200123-20200207
"
冷眼看世界的小草",我认识老贺 ,20200123-20200207
"
追风景的赶路人",向这些英雄致敬，真的～ ,20200123-20200207
"
-馬叔叔呐",@wjw贵公子 ,20200123-20200207
"
无声之形",诶？什么辟谣呀？ ,20200123-20200207
"
s沉默",加油??你不是一个人战斗 ,20200123-20200207
"
阳光青苹",加油 ,20200123-20200207
"
玉子不爱吃芋头",我今天看到辟谣了 ,20200123-20200207
"
VV知足常乐",天使在人间！????大哥！ 祝愿你好好的！????????给我好好的！??????过段时间你在发视频????我还顶你！ ,20200123-20200207
"
我想去吃吃吃吃",加油，战胜病魔！！！ ,20200123-20200207
"
大咕咕噜鸡la",能吃能睡，温柔乐观，这样超好 ,20200123-20200207
"
菁菁孟夏",心态很重要，信念要有，吃饭很重要，再一个在家待着最安全 ,20200123-20200207
"
Becky王小瑶",加油！ ,20200123-20200207
"
狂奔的小斑马",叔，你好可爱，多七点，能七就能好?? ,20200123-20200207
"
-盐一一",恨国党只会说，没有自由 ,20200123-20200207
"
路过秋风",祝潇洒可爱的余大夫早日康复 ,20200123-20200207
"
柚柚dx",国家真的已经做的很好了，感恩 ,20200123-20200207
"
大力士的日常生活",您老快快好起来。保佑 ,20200123-20200207
"
挂耳草莓咖啡",嗨！他那里真会关心李医生啊，怕是李医生生前的微博和访问都没看过，不过是想引出阴谋论罢了 ,20200123-20200207
"
吃桃儿的熊猫",??最后的胜利属于我们???????? ,20200123-20200207
"
周是_",要好起来！！！ ,20200123-20200207
"
貘哴18102",我很愤怒他的这种可耻的“爱国之心” ,20200123-20200207
"
哈哈哈哈哈哈小马",早日康复?????? ,20200123-20200207
"
你不是我家的猪带你飞",是呀！火神山医院每餐还有一瓶酸奶，我在家都没有我看到宜昌医院里条件更加好，酸奶都是光明look大瓶的，听说武汉有病人闹说要吃基围虾，热干面 ,20200123-20200207
"
小包子的宝丹砰砰砰",吃不下就慢慢吃，一切都会好起来的 ,20200123-20200207
"
小包子的宝丹砰砰砰",吃不下就慢慢吃，一切都会好起来的 ,20200123-20200207
"
清风初起云遮月",@老刘和美丽的日常 ,20200123-20200207
"
二次媛子",没有这个事情根本就发现不了那么多黑心的人 ,20200123-20200207
"
东风必起",身为中国人骄傲！身为山东人自豪！ ,20200123-20200207
"
璇能想到的名字都被占用",这个病毒最大的不确定性就是会在人体中变异，不同的人的病变情况都不同。哎…真的心疼 ,20200123-20200207
"
xiaoxiaojiade",@你不是我家的猪带你飞 ,20200123-20200207
"
LL41247",武汉加油！多喝水，多洗手，多洗 ,20200123-20200207
"
這個那個這裡那裡",加油加油～ ,20200123-20200207
"
陈小姐的大阳光",?? ,20200123-20200207
"
姜大猫吃鱼",祝早日康复 ,20200123-20200207
"
iam牛牛小姐呀",可可爱爱????心态很重要????会好起来的(??▽??) ,20200123-20200207
"
甜份满分水蜜桃",看到这么多人反驳你我就放心了，至少大家三观还是正的，还说说的是数字，你知道武汉人口是多少吗？麻烦说话之前仔细思考自己说了些什么 ,20200123-20200207
"
什么论文论什么文不会写啊",财政部副部长余蔚平在发布会上说，截至2月6日，财政部会同有关部门已经出台十余条财税支持措施。明确患者治疗费用，对确诊患者个人负担费用实行财政兜底，中央财政补助60％；对疑似患者，由就医地制定财政补助政策，中央财政视情给予适当补助。（免费医疗？要不要给你弄个推广上500算你造谣？） ,20200123-20200207
"
英姿飒爽的华华",早日康复！最近不断泪奔！ ,20200123-20200207
"
加可可碎片吗",@盐系NaCl @Y君生 @耀耀欢欢 帮老子骂????她说武汉全灭了也没什么 ,20200123-20200207
"
加可可碎片吗",她这批嘴巴应该是吃了蝙蝠的哈哈 ,20200123-20200207
"
AlexandraEve",希望您早点康复 ,20200123-20200207
"
DDDDDDDDDYYYYYYYY",没有国家，整个中国就完了，感谢国家，感谢政府，感谢白衣天使??！ ,20200123-20200207
"
加可可碎片吗",老子也贼烦这种批????尼玛一点都不团结????她没了才是真的没什么问题???? ,20200123-20200207
"
茜小冉_753",【#医生感染新冠病毒自拍讲述抗争 ,20200123-20200207
"
rosypeach",还有 你混淆了政府和国家的概念 我说的是政府做这些是应该的 别说什么“国家就不该让我吃上饭”这种给我乱扣不爱国帽子的废话????逻辑理清楚再出来说话 ,20200123-20200207
"
加可可碎片吗",你要是武汉人你听到这句话你心里舒服？？噢????武汉就活该是吧????是????从理论上讲你说的可能没问题????但是不好意思??????从道德层面我觉得没有任何一个有良心的人会说出这种话的????真是不够团结????PS我觉得国家已经做的很好 ,20200123-20200207
"
午后耀眼de阳光",医生谈新型肺炎，医生怎么战胜疾病，他的乐观态度值得赞扬。 ,20200123-20200207
"
等1杯茶顏悦色",不知道谁秀了 话别乱说 带了心智不成熟的人 真以为灭一个武汉就能解决问题了 ,20200123-20200207
"
阳灿灿灿灿灿灿",早日康复呀 ,20200123-20200207
"
Latent_volcano",乐观坦然，真心赞 ,20200123-20200207
"
Miffy君",阅读能力理解差就别在这里秀了我评论的是数字。我说的是数字对于国家来说没什么，我说给那些说政府无作为的人听的，开口就喷，你可真能耐。 ,20200123-20200207
"
Miffy君",阅读能力理解差就别在这里秀了！我评论的是数字。我说的是数字对于国家来说没什么，我说给那些说政府无作为的人听的，开口就喷，你可真能耐。 ,20200123-20200207
"
Miffy君",阅读能力理解差就别在这里秀了我评论的是数字。我说的是数字对于国家来说没什么，我说给那些说政府无作为的人听的，开口就喷，你可真能耐。 ,20200123-20200207
"
Miffy君",阅读能力理解差就别在这里秀了我评论的是数字。我说的是数字，我说给那些说政府无作为的人听的，开口就喷，你可真能耐。 ,20200123-20200207
"
X-fay",好可爱！！！加油哦～ ,20200123-20200207
"
Miffy君",阅读能力理解差就别在这里秀了我评论的是数字。不是指人，我说什么要你管，你当你自己是什么？请问？ ,20200123-20200207
"
Miffy君",阅读能力理解差就别在这里秀了我评论的是数字。不是指人 ,20200123-20200207
"
Miffy君",阅读能力理解差就别在这里秀了我评论的是数字。不是指人，动不动就爆粗口，我说不说话，什么时候轮到你来管，你是哪位？？？ ,20200123-20200207
"
长不大的傻子白",医生说话很温柔，一定是个热心的好医生，加油会好起来的 ,20200123-20200207
"
卉卉的昵称",他们应该下地狱 ,20200123-20200207
"
Miffy君",阅读能力理解差就别在这里秀了我评论的是数字。不是指人！ ,20200123-20200207
"
憨憨舞王",能吃能睡就会好～那我不怕了 ,20200123-20200207
"
好吃王就多吃点",医生伯伯身体健康吃吃嘛嘛香！感谢您拯救生命 ,20200123-20200207
"
阿米尔200408",好可爱的医生啊早日康复 ,20200123-20200207
"
伊莎贝贝瓜",多七饭啊胖友们，增强抵抗力 ,20200123-20200207
"
被人看出来",嘿;-) ,20200123-20200207
"
萝卜萝卜啦啦",希望早日康复 ,20200123-20200207
"
一根冰糕",听了他的话，瞬间信心百倍，祝你早日康复！ ,20200123-20200207
"
瓜瓜的89",前线医生心理素质真的要强，能开导好自己，还要这样努力带给别人希望，您做的太棒了，好敬佩您希望您一定好好休养，一定要好起来?? ,20200123-20200207
"
柠檬奶牛",嘻嘻嘻，好乐观的o(≧v≦)o ,20200123-20200207
"
Ljx_han",全心全意 众志成城 一心抗战 不好嘛 如果部分人真的有错 现在也不是指责的时刻 别搞错了重点 好吗！ ,20200123-20200207
"
Ljx_han",你们想想 要是那些病人 看到你们这些责骂政府的言语 会对他们造成什么影响 他们还有多大的信心啊 对于政府及相关工作人员而言 他们多希望得到所有群众的鼓励和支持啊 而这个时候 他们还得承受这些压力 有时候 你的一句话一个动作 在无形中给别人带去巨大的伤害 ,20200123-20200207
"
dqnzz",nt ,20200123-20200207
"
海燕辞归",我们的祖国超级棒的！！！ ,20200123-20200207
"
Ljx_han",看到网上很多人喷我们国家????其实????在面对这种情况谁又能真正做到最完善呢????得病了牺牲了 很多都是不可控的????我们祖国已经给了我们很多很多????怎么不去想想这些 反而抓着少例人的牺牲不放 各种怪罪国家保护不周????要知道 全国十四亿人????在这个时刻 大家都想自保 又有多少人有勇气有能力站出来救助他人 ？ ,20200123-20200207
"
哈比的哈尼",@憨憨舞王 ,20200123-20200207
"
兩兩兩雨兩兩兩",对啊我也觉得是这样，这几天各种带节奏，完了底下随声附和，我真的是服，不喜欢国家不喜欢政府的，你可以走啊，整天不知道说点什么屁话 ,20200123-20200207
"
辰辰辰要努力",看病遇到这种医生真的特别好，耐心值100分 ,20200123-20200207
"
芒星_",经历过非典，还他妈一点也不长记性 ,20200123-20200207
"
小啊么小草包",感动 ,20200123-20200207
"
种花猴",祝您早日康复 ！ ,20200123-20200207
"
iven1919",哎，我为什么要跟一个无知的人扯这些 ,20200123-20200207
"
筱芢婺",嗯？我纠结吗？ ,20200123-20200207
"
哦哦哦哆茄",我爱我的祖国！我相信我的祖国！我们一定会胜利！一线的医护人员辛苦了，请你们一定要平平安安，一个也不能少！ ,20200123-20200207
"
花了妆的新娘",多喝点去火茶吧。这种时候，尽量不去医院了。 ,20200123-20200207
"
rena2020girl",这个视频剪辑过的吧，这个医生活过来的重要原因是他老婆来医院照顾了他，虽然也被感染但是比较轻 ,20200123-20200207
"
peuvent",加油??！！！！你一定会好的 ,20200123-20200207
"
东南方向西北风",你又知道了？你是内部的人？ ,20200123-20200207
"
云柯QY",加油 ,20200123-20200207
"
Miley麦子",以后医院门诊看发烧的病人。医生每天都要带好手套眼镜还有口罩。不然10年后再来一次。就很尴尬了。医生太辛苦了 ,20200123-20200207
"
小旅行0123",是啊 什么才是真相 你说的正是我也想知道的。可能我们永远听不到真的答案了。 ,20200123-20200207
"
西风烈我衣",感觉这叔即能做手术又能说相声 ,20200123-20200207
"
小猪不抢食",确实一个有钱一个移民 怪不得咱们中国人出门花钱个个像土豪 可能怕别人看不起 要是有这种心理别人永远看不起 ,20200123-20200207
"
风语之岸", 死亡率 ,20200123-20200207
"
红色的小小虾米",同意，全世界，没有一个国家，能同时收纳医治这么多病人了，就算是美国也不行。你在家呆着有吃有喝，这是多少人的付出努力的结果，这些都是国家做的努力，所以不要骂咱们国家了，地方政府不作为，咱们可以喷这件事，这些人，但不要升华到国家。我相信中央政府，不要被外部分裂势力洗脑，国家必须稳定 ,20200123-20200207
"
河图天",那你知道有多少疑似和观察期隔离的吗？不需要医务人员吗？ ,20200123-20200207
"
初级环保攻城狮-陈百万",@我是大阿鑫啊 ,20200123-20200207
"
清风明月光影天涯路",感觉视频被剪辑了很多，一顿一顿的 ,20200123-20200207
"
_无人接听稍后再拨",加油医生?? ,20200123-20200207
"
金大力7",希望您早日康复，家庭平安 ,20200123-20200207
"
_无人接听稍后再拨",加油！ ,20200123-20200207
"
Turbo黑_",什么叫这年纪大的？好好说话不会就闭嘴 ,20200123-20200207
"
pjkangg",你是说李文亮? ,20200123-20200207
"
张潆心本心",@Alice_alices ,20200123-20200207
"
面包包宝",可爱的医生!祝早日康复!也希望在一线的医务工作者们健康平安! ,20200123-20200207
"
超级无敌棒棒糖哟",当您笑着说这些话的时候 我 ,20200123-20200207
"
Cherry_Valley",看完你轻松乐观的态度，让我觉得全国人民康复都是很快的事情了，谢谢有你们，谢谢有你和李文亮这样的大夫 ,20200123-20200207
"
黑眼圈葵小一",李医生的医生同事抢救不过来他，你应该用键盘去抢救他 ,20200123-20200207
"
答应我很快乐",心态很好 ,20200123-20200207
"
五月潇_",加油医生！你一定会好起来的 ,20200123-20200207
"
一只小甜橙儿_",@Zephyr_13 说话好可爱啊要健健康康 ,20200123-20200207
"
silvercoups",隐瞒疫情数字上报是犯罪，造谣也是，希望你懂 ,20200123-20200207
"
草莓牛奶多加冰",@blioneee ,20200123-20200207
"
仙草味的青梅",是的，我看过完整的原视频，大概是十多分钟的，这位医生性格很好，很幽默，也很乐观，他重症的时候需要人照顾，他是呼吸科的大夫，知道这个病有多严重，更会传染给其他人，再三斟酌下就让老婆来照顾自己了，不过现在余医生病情已经好转，人也很有精神，老婆也是轻症，希望他们能早日康复?? ,20200123-20200207
"
一个不哭不闹不炫耀的小仙女",国家已经很努力了，加油，我们一起加油，一起扛过这个难题 ,20200123-20200207
"
南方有星星和海",第一个发现病毒并上报的张继先医生12月26号就发现传染性了，她让科室人员做好防护，还采购了新的防护服。关键她所在的医院给区、市、省卫健委都报告了，真不明白为什么湖北不早点采取措施 ,20200123-20200207
"
山上大老贼",之前看到很多人说10月阅兵产生的自豪感被这次武汉疫情刷的荡然无存。相反，通过这次疫情，我对祖国的骄傲比之更甚！ ,20200123-20200207
"
一千零一夜的陈等等",感恩国家，如果是发生在其他国家不敢想象会是怎样 ,20200123-20200207
"
_HybridChild",您真棒 ,20200123-20200207
"
不许拖延333",加油！早日康复 ,20200123-20200207
"
吃土的土豪13",更早的12月中旬就已经察觉到了 ,20200123-20200207
"
小璐快跑o",愿早日康复 ,20200123-20200207
"
Hnisan",说怀疑提醒大众防范的，你看看你们长辈之前听你的吗？再看看你家里面人现在，病没到你这里来，永远不知道病有多重，所以别张口就来 ,20200123-20200207
"
仙草味的青梅",余医生很乐观，也很可爱，希望早日康复 ,20200123-20200207
"
吃土的土豪13",你想多了，这玩意病毒一开始查出来就基本可以确定有传染性了，连群众第一时间拥有防护意识的权利都剥夺。 ,20200123-20200207
"
KK-Beeeeeee",会好起来的希望您早日痊愈！ ,20200123-20200207
"
橘子果酱味的MeU",上天会保佑你的！一定会好起来的！ ,20200123-20200207
"
安和桥大叔101",加油可以挺过来的?? ,20200123-20200207
"
Melody_金",会好起来的！！！ ,20200123-20200207
"
骆骆小梨涡",祝您早日康复 ,20200123-20200207
"
花花铁树精",太难了，真的。特别心疼。 ,20200123-20200207
"
改个名字好难烦烦烦",加油 ,20200123-20200207
"
YongYyyyy",武汉加油！中国加油！从来没有一刻比现在更希望国泰民安?? ,20200123-20200207
"
lorraine爱夏天",加油！ ,20200123-20200207
"
米秦熙",口罩不用盖住鼻子吗？ ,20200123-20200207
"
不想取名zab",怎么说话的，会不会说话，不会说把嘴给我闭上 ,20200123-20200207
"
一朵小红花儿呀呀呀",对，我感觉还不如造谣的 ,20200123-20200207
"
溪帅儿",如果世界上的因果都是简单的选择题，那就不需要调查了 ,20200123-20200207
"
和樂withyou",@追及蜉蝣 看，能吃能睡还是很好的 ,20200123-20200207
"
糖兔凌",希望医生能早日康复 ,20200123-20200207
"
吃了甜点哦",疫情赶快结束吧！！都要好起来呀！！ ,20200123-20200207
"
冰糖味梨子水",我在新疆！政府做的很好！我爱我的祖国！ ,20200123-20200207
"
Yazzy_73",要是不够乐观坚强，会不会就死掉了，看了更害怕了，大家都只是个普通人 ,20200123-20200207
"
a小pig",心态很重要，加油 ,20200123-20200207
"
卷卷卷卷木",祝您早日康复 ,20200123-20200207
"
铁血无情白敬亭",你好可爱呀 ,20200123-20200207
"
惜我默小言",好可爱的医生 ,20200123-20200207
"
我超级爱大葱",早日康复 ,20200123-20200207
"
乐活小欧",14号防疫专家组成员已感染！14号啊！！！武汉每天在报零确诊！！！ ,20200123-20200207
"
福报中毒的仙术师",听党话，跟党走，做好人，别做?? ,20200123-20200207
"
天堂丶纵横四海",我在，广西，感谢我的国家 ,20200123-20200207
"
银桑的土方酱",希望您早日康复，加油 ,20200123-20200207
"
昵称再长有多长",早日康复 ,20200123-20200207
"
mon--cheri",啊啊啊……好可爱啊 ,20200123-20200207
"
小罗布妈妈",加油 ,20200123-20200207
"
蓝海6126",如果做的好，这个疾病就不会蔓延，让这么多人失去了生命 ,20200123-20200207
"
荒岛上的小草",太可爱了 ,20200123-20200207
"
一只派大肉包",希望早日康复 ,20200123-20200207
"
慧一5",病，不仅仅是年轻就免疫力好，其实还在于心态免疫力！一得病就怕的要死，天天担心那种人再年轻平时体力再好，也死的最快，得病后，积极乐观，不担心不焦虑，相信自己一定会好， 活下去的信念，要保证吃有营养，用心态帮助身体对抗体内的战役，此时，就算老年人也能治愈，关键时刻拼心态心理素质 ,20200123-20200207
"
爱吃酱油的豆包",！！！ ,20200123-20200207
"
深度-Silhouette",祝您早日康复 ,20200123-20200207
"
却完完全全不想放弃",我爱国家 ,20200123-20200207
"
虫二qiu",人家是前线医生，懂不懂尊重人！真的宝批龙 ,20200123-20200207
"
良莠娇娇",国家真的做了很多实事 许多为人民的好事，现在大家不要因为某些政府失职 就要把错处怪在全国政府身上。毕竟，有国才有家。我们现在要做的就是保护好自己及家人????不再给国家和一线人员添负担。?????? 希望早日恢复从前的国泰民安。 ,20200123-20200207
"
最好的岁月静好51020",祝您早日康复加油?? ,20200123-20200207
"
爱吃酱油的豆包",我提都没提过武汉政府，我敢把政府这俩字打出来，我理直气壮，我不会去评价维护或者质疑武汉政府，因为我不是武汉人，你一句一个我维护武汉政府，你这这语言方法叫做强加因果，暗换主体，那我就顺着你的话说，继续你的拙劣表演，记得吃汤圆嗷。说实话你说的没个字我都不信，说不定你是个蟑螂台蛙呢。 ,20200123-20200207
"
LXKLS",这个病的死亡率有30%这么高吗？但看数据的话没这么高啊？ ,20200123-20200207
"
立远6821",我在新疆，政府在各方面做的都很用心，很得力！我有信心我们一定能战胜疫情！ ,20200123-20200207
"
和煦的糖果风_",加油，一定会很快好起来的?????? ,20200123-20200207
"
萌小胖爱吃鱼",武汉加油，中国加油！ ,20200123-20200207
"
Vaness职a_Blue",图片评论 ??评论配图 ,20200123-20200207
"
大脸猫小芮子",??胜利是属于我们的！！！加油！大家都加油！ ,20200123-20200207
"
可爱的喵小咪哦",哦是这样的呀 ,20200123-20200207
"
清醒和糖",哦！ ,20200123-20200207
"
能不取网名嘛",真的是 有的人一有事就抨击国家 都不想看微博了 ,20200123-20200207
"
超熙欢吃螺蛳粉的小尹",有点想哭，嗯，最后的胜利会属于我们 ,20200123-20200207
"
星空跳跳糖",乐观坚强，祝您早日康复，点赞！ ,20200123-20200207
"
花是碧罗帮5569",稳住了 哈哈哈哈 太可爱了 你一定会好起来的 ,20200123-20200207
"
阿修罗界11",国家是好 但是也绝不会忘记一小部分狗官 ,20200123-20200207
